index,cumulative_v_fraction,cumulative_c_fraction,symbol
892,0.465247,0.534753,c
893,0.464726,0.535274,c
894,0.465324,0.534676,v
895,0.464804,0.535196,c
896,0.465402,0.534598,v
897,0.464883,0.535117,c
898,0.465479,0.534521,v
899,0.464961,0.535039,c
900,0.465556,0.534444,v
901,0.465039,0.534961,c
902,0.465632,0.534368,v
903,0.465116,0.534884,c
904,0.465708,0.534292,v
905,0.466298,0.533702,v
906,0.465784,0.534216,c
907,0.466373,0.533627,v
908,0.465859,0.534141,c
909,0.465347,0.534653,c
910,0.465934,0.534066,v
911,0.465423,0.534577,c
912,0.466009,0.533991,v
913,0.465498,0.534502,c
914,0.466083,0.533917,v
915,0.465574,0.534426,c
916,0.466157,0.533843,v
917,0.465649,0.534351,c
918,0.466231,0.533769,v
919,0.466812,0.533188,v
920,0.466304,0.533696,c
921,0.465798,0.534202,c
922,0.466377,0.533623,v
923,0.465872,0.534128,c
924,0.466450,0.533550,v
925,0.465946,0.534054,c
926,0.465443,0.534557,c
927,0.464941,0.535059,c
928,0.464440,0.535560,c
929,0.463940,0.536060,c
930,0.464516,0.535484,v
931,0.465091,0.534909,v
932,0.464592,0.535408,c
933,0.464094,0.535906,c
934,0.463597,0.536403,c
935,0.464171,0.535829,v
936,0.464744,0.535256,v
937,0.464248,0.535752,c
938,0.463753,0.536247,c
939,0.464324,0.535676,v
940,0.464894,0.535106,v
941,0.465462,0.534538,v
942,0.464968,0.535032,c
943,0.465536,0.534464,v
944,0.465042,0.534958,c
945,0.464550,0.535450,c
946,0.464059,0.535941,c
947,0.464625,0.535375,v
948,0.464135,0.535865,c
949,0.464700,0.535300,v
950,0.464211,0.535789,c
951,0.464774,0.535226,v
952,0.465336,0.534664,v
953,0.464848,0.535152,c
954,0.464361,0.535639,c
955,0.463874,0.536126,c
956,0.464435,0.535565,v
957,0.463950,0.536050,c
958,0.464509,0.535491,v
959,0.464025,0.535975,c
960,0.464583,0.535417,v
961,0.464100,0.535900,c
962,0.463617,0.536383,c
963,0.464174,0.535826,v
964,0.463693,0.536307,c
965,0.463212,0.536788,c
966,0.463768,0.536232,v
